"Team","image_url","TrophyImgLink","Founded","Colour","Wesbite","PreferredFormation"
"Arsenal FC","https://assets.stickpng.com/images/580b57fcd9996e24bc43c4df.png","https://i.ibb.co/v4pHMyG/Arsenal.png",1886,"#F10104","www.arsenal.com","4-3-3 Attacking"
"Aston Villa","https://logodownload.org/wp-content/uploads/2019/10/aston-villa-logo-1.png","https://i.ibb.co/Pj9VfWk/Aston-Villa.png",1874,"#851547","www.avfc.co.uk","4-4-2 Double 6"
"AFC Bournemouth","https://logodownload.org/wp-content/uploads/2019/10/bournemouth-fc-logo-1.png","https://i.ibb.co/P9TmrV7/Bournemouth-FC.png",1899,"#BB1118","	ww.afcb.co.uk","4-2-3-1"
"Brentford FC","https://upload.wikimedia.org/wikipedia/en/thumb/2/2a/Brentford_FC_crest.svg/1200px-Brentford_FC_crest.svg.png","https://i.ibb.co/3MRQBtC/Brentford-FC.png",1889,"#F81920","www.brentfordfc.co.uk","3-5-2 Flat"
"Brighton & Hove Albion","https://upload.wikimedia.org/wikipedia/sco/thumb/f/fd/Brighton_%26_Hove_Albion_logo.svg/1200px-Brighton_%26_Hove_Albion_logo.svg.png","https://i.ibb.co/wzjNw5d/Brighton-Hove-Albion.png",1901,"#045AA3","www.brightonandhovealbion.com","4-2-3-1"
"Burnley FC","https://upload.wikimedia.org/wikipedia/en/thumb/6/6d/Burnley_FC_Logo.svg/1200px-Burnley_FC_Logo.svg.png","https://i.ibb.co/BZVpK3t/Burnley-FC.png",1882,"#59062B","	www.burnleyfootballclub.com","4-2-3-1"
"Chelsea FC","https://logodownload.org/wp-content/uploads/2017/02/chelsea-fc-logo-0.png","https://i.ibb.co/YLhRhyv/Chelsea-FC.png",1905,"#1A37C9","	www.chelseafc.com","4-3-3 Attacking"
"Crystal Palace","https://upload.wikimedia.org/wikipedia/hif/c/c1/Crystal_Palace_FC_logo.png","https://i.ibb.co/CWR7MDB/Crystal-Palace.png",1905,"#0D5AB3","www.cpfc.co.uk","4-3-3 Attacking"
"Everton FC","https://logodownload.org/wp-content/uploads/2019/04/everton-logo-escudo-3.png","https://i.ibb.co/gjBwhJ4/Everton-FC.png",1878,"#0A0BA2","www.evertonfc.com","4-2-2 Double 6"
"Fulham FC","https://upload.wikimedia.org/wikipedia/sco/thumb/e/eb/Fulham_FC_%28shield%29.svg/1200px-Fulham_FC_%28shield%29.svg.png","https://i.ibb.co/JjxJ62F/Fulham-FC.png",1879,"#F8F8F8","www.fulhamfc.com","4-2-3-1"
"Liverpool FC","https://assets.stickpng.com/images/580b57fcd9996e24bc43c4e5.png","https://i.ibb.co/xMt9MsD/Liverpool-FC.png",1892,"#D00A14","	www.liverpoolfc.com","4-3-3 Attacking"
"Luton Town","https://static.wikia.nocookie.net/logopedia/images/7/76/Luton_Town_FC_logo_%28130_Years%29.png/revision/latest?cb=20151121195540","https://i.ibb.co/KrnHTbW/Luton-Town.png",1885,"#F74515","www.lutontown.co.uk","3-4-1-2"
"Manchester City","https://cdn.freebiesupply.com/images/large/2x/manchester-city-logo-png-transparent.png","https://i.ibb.co/4mS64qx/Manchester-City.png",1880,"#91BFE3","www.mancity.com","4-3-3 Attacking"
"Manchester United","https://assets.stickpng.com/images/580b57fcd9996e24bc43c4e7.png","https://i.ibb.co/hYx2n67/Manchester-United.png",1878,"#E30C0C","www.manutd.com","4-2-3-1"
"Newcastle United","https://upload.wikimedia.org/wikipedia/hif/2/25/Newcastle_United_Logo.png","https://i.ibb.co/8NqjWRv/Newcastle-United.png",1892,"#292526","www.nufc.co.uk","4-3-3 Attacking"
"Nottingham Forest","https://cdn.freebiesupply.com/logos/large/2x/nottingham-forest-fc-logo-png-transparent.png","https://i.ibb.co/nLDzJrt/Nottingham-Forest.png",1865,"#C81D39","www.nottinghamforest.co.uk"," 3-4-1-2"
"Sheffield United","https://upload.wikimedia.org/wikipedia/en/thumb/9/9c/Sheffield_United_FC_logo.svg/1200px-Sheffield_United_FC_logo.svg.png","https://i.ibb.co/T04gbw3/Sheffield-United.png",1889,"#E8101D","	www.sufc.co.uk","3-5-2 Flat"
"Tottenham Hotspur","https://upload.wikimedia.org/wikipedia/hif/6/6d/Tottenham_Hotspur.png","https://i.ibb.co/PTS3Cjd/Tottenham-Hotspur.png",1882,"#FAFAFA","	www.tottenhamhotspur.com","4-3-3 Attacking"
"West Ham United","https://logodownload.org/wp-content/uploads/2019/05/west-ham-united-logo-3.png","https://i.ibb.co/Vxq9gwy/West-Ham-United.png",1895,"#772635","www.whufc.com","4-2-3-1"
"Wolverhampton Wanderers","https://logodownload.org/wp-content/uploads/2019/04/wolverhampton-logo-escudo.png","https://i.ibb.co/mG3JFTh/Wolverhampton-Wanderers.png",1877,"#FA9D10","www.wolves.co.uk","4-2-3-1"
